Rank,Name,Net Worth,Age,Source,Country of Citizenship
1867,Jin Huiming,1.2 ,65,real estate,China
1867,Ajay Kalsi,1.2 ,57,oil & gas,India
1867,Helga Kellerhals,1.2 ,78,electronics retailer,Germany
1867,King Pak Fu,1.2 ,48,real estate,Hong Kong
1867,Sergei Kolesnikov,1.2 ,46,building materials,Russia
1867,Hemendra Kothari,1.2 ,71,Financial Services,India
1867,Eiichi Kuriwada,1.2 ,71,package delivery,Japan
1867,Guy Laliberté,1.2 ,58,Cirque du Soleil,Canada
1867,Lee Hae-Jin,1.2 ,50,Internet,South Korea
1867,Michael Lee-Chin,1.2 ,67,mutual funds,Canada
1867,Li Guangyu,1.2 ,54,education,China
1867,Li Jun,1.2 ,53,electronics,China
1867,Li Rucheng,1.2 ,67,apparel,China
1867,Li Xuhui,1.2 ,50,soy sauce maker,China
1867,Lim Wee Chai,1.2 ,60,rubber gloves,Malaysia
1867,Liu Jiang,1.2 ,50,gas,China
1867,Liu Xuejing,1.2 ,67,"copper, poultry",China
1867,Liu Zhenguo,1.2 ,53,sewage treatment,China
1867,Lo Ka Shui,1.2 ,71,real estate,Hong Kong
1867,Lo Siu-tong,1.2 ,88,"real estate, hotels",Hong Kong
1867,Tobi Lutke,1.2 ,37,e-commerce,Canada
1867,Ma Yunsheng,1.2 ,55,energy,China
1867,Ziyavudin Magomedov,1.2 ,49,"port, gas",Russia
1867,Ana Maria Marcondes Penido Sant'Anna,1.2 ,62,toll roads,Brazil
1867,Terence (Terry) Matthews,1.2 ,75,telecom,Canada
1867,Gail Miller,1.2 ,74,"basketball, car dealers",United States
1867,Andrei Molchanov,1.2 ,46,construction materials,Russia
1867,Ni Zhaoxing,1.2 ,62,real estate,China
1867,Kentaro Ogawa,1.2 ,69,restaurants,Japan
1867,Erik Paulsson,1.2 ,76,"construction, real estate",Sweden
1867,Peng Hao,1.2 ,51,electronics,China
1867,Stefan Pierer,1.2 ,61,automotive,Austria
1867,Michael Price,1.2 ,65,investments,United States
1867,Clayton Riddell,1.2 ,80,oil & gas,Canada
1867,Boris Rotenberg,1.2 ,61,"construction, pipes, chemicals",Russia
1867,Igor Rybakov,1.2 ,46,building materials,Russia
1867,Stephen Saad,1.2 ,53,pharmaceuticals,South Africa
1867,K. Rai Sahi,1.2 ,72,real estate,Canada
1867,Airat Shaimiev,1.2 ,56,"refinery, chemicals",Russia
1867,Radik Shaimiev,1.2 ,53,"refinery, chemicals",Russia
1867,Shang Jiyong,1.2 ,50,"tires, chemicals",China
1867,Mikhail Shelkov,1.2 ,50,titanium,Russia
1867,S.D. Shibulal,1.2 ,63,software services,India
1867,Ron Sim,1.2 ,59,retail,Singapore
1867,Leonid Simanovsky,1.2 ,68,investments,Russia
1867,Basudeo Singh,1.2 ,77,pharmaceuticals,India
1867,Samprada Singh,1.2 ,92,pharmaceuticals,India
1867,Terry Snow,1.2 ,74,"airports, real estate",Australia
1867,Lynsi Snyder,1.2 ,36,In-N-Out Burger,United States
1867,Sybill Storz,1.2 ,81,medical devices,Germany
1867,Harjo Sutanto,1.2 ,92,consumer goods,Indonesia
1867,Yoshikazu Tanaka,1.2 ,41,social network,Japan
1867,Mehmet Sinan Tara,1.2 ,60,construction,Turkey
1867,Rit Thirakomen,1.2 ,66,restaurants,Thailand
1867,Tian Ming,1.2 ,64,measuring instruments,China
1867,Ion Tiriac,1.2 ,79,"banking, insurance",Romania
1867,Ivar Tollefsen,1.2 ,56,Real estate,Norway
1867,Mustafa Latif Topbas,1.2 ,74,"food, retail",Turkey
1867,Thomas Tull,1.2 ,48,movies,United States
1867,John Van Lieshout,1.2 ,72,real estate,Australia
1867,Wang Han,1.2 ,30,airline,China
1867,Wang Junjin,1.2 ,49,airline,China
1867,Wang Wenbiao,1.2 ,61,"natural gas, fertilizers",China
1867,"Alfred West, Jr.",1.2 ,75,money management,United States
1867,Wu Daohong,1.2 ,52,energy services,China
1867,Wu Yiling,1.2 ,68,pharmaceuticals,China
1867,Xiu Laigui,1.2 ,63,pharmaceuticals,China
1867,Xu Xiong,1.2 ,46,driving schools,China
1867,Xu Xudong,1.2 ,48,auto parts,China
1867,Xue Hua,1.2 ,48,Agribusiness,China
1867,Vadim Yakunin,1.2 ,55,pharmacy,Russia
1867,Yan Yude,1.2 ,57,private schools,China
1867,Yang Keng,1.2 ,57,real estate,China
1867,Yang Shaopeng,1.2 ,60,Shipping,China
1867,Zhang Cheng Fei,1.2 ,50,paper & related products,China
1867,Zhang Jingzhang,1.2 ,82,precision machinery,China
1867,Zhang Keqiang,1.2 ,58,real estate,China
1867,Zhang Xuanning,1.2 ,48,retail,China
1867,Zhang Zhangsun,1.2 ,61,real estate,China
1867,Zhou Bajin,1.2 ,83,auto parts,China
1867,Zhou Wenyu,1.2 ,53,real estate,China
1999,William Ackman,1.1 ,52,hedge funds,United States
1999,Soegiarto Adikoesoemo,1.1 ,80,chemicals,Indonesia
1999,Ali Ibrahim Agaoglu,1.1 ,64,construction,Turkey
1999,Hamdi Akin,1.1 ,63,diversified,Turkey
1999,Chirayu Amin,1.1 ,71,pharmaceuticals,India
1999,Mehmet Aydinlar,1.1 ,61,hospitals,Turkey
1999,Emanuella Barilla,1.1 ,51,Barilla pasta,Italy
1999,Guido Barilla,1.1 ,59,Barilla pasta,Italy
1999,Luca Barilla,1.1 ,58,Barilla pasta,Italy
1999,Paolo Barilla,1.1 ,57,Barilla pasta,Italy
1999,Mehmet Rustu Basaran,1.1 ,71,"banking, gas",Turkey
1999,J. Hyatt Brown,1.1 ,80,insurance,United States
1999,Bu Yang,1.1 ,-,retail,China
1999,Hideyuki Busujima,1.1 ,65,pachinko machines,Japan
1999,Cai Rongjun,1.1 ,45,electronic components,China
1999,Cai Xiaoru,1.1 ,38,electronic components,China
1999,Delfin Jorge Ezequiel Carballo,1.1 ,65,banking,Argentina
1999,Chen Jinshi,1.1 ,55,"construction, real estate",China
1999,Chen Qixing,1.1 ,58,electronics components,China
1999,Chen Shiliang,1.1 ,54,polyester,China
1999,Chen Xiaxin,1.1 ,56,industrial machinery,China
1999,Manas Chiaravanond,1.1 ,-,diversified,Thailand
1999,Yupa Chiaravanond,1.1 ,-,diversified,Thailand
1999,Prathip Chiravanond,1.1 ,-,diversified,Thailand
1999,Gustavo Cisneros,1.1 ,73,media,Venezuela
1999,Sandor Csanyi,1.1 ,65,"finance, real estate",Hungary
1999,Cui Lijie,1.1 ,60,gambling,Hong Kong
1999,Dang Yanbao,1.1 ,45,coal,China
1999,Bharat Desai,1.1 ,65,IT consulting,United States
1999,Joseph Edelman,1.1 ,63,hedge funds,United States
1999,Wolfgang Egger,1.1 ,-,real estate,Germany
1999,Andrei Filatov,1.1 ,46,"ports, railway transport",Russia
1999,Paul Fireman,1.1 ,74,Reebok,United States
1999,J. Christopher Flowers,1.1 ,60,investments,United States
1999,Fu Kwan,1.1 ,60,"real estate, diversified",China
1999,Sheela Gautam,1.1 ,86,mattresses,India
1999,Drew Houston,1.1 ,35,file hosting service,United States
1999,Huang Shilin,1.1 ,51,storage batteries,China
1999,Huang Wen Tsai,1.1 ,64,real estate,China
1999,Mohammed Ibrahim,1.1 ,72,communications,United Kingdom
1999,Hiroshi Ishibashi,1.1 ,71,tires,Japan
1999,Bent Jensen,1.1 ,66,electric linear systems,Denmark
1999,Chatchai Kaewbootta,1.1 ,66,auto loans,Thailand
1999,Jonas Kamprad,1.1 ,52,IKEA,Sweden
1999,Mathias Kamprad,1.1 ,48,IKEA,Sweden
1999,Peter Kamprad,1.1 ,54,IKEA,Sweden
1999,Madhu Kapur,1.1 ,-,banking,India
1999,Richard Kayne,1.1 ,72,investments,United States
1999,Vladimir Kogan,1.1 ,55,banking,Russia
1999,Koh Wee Meng,1.1 ,54,"real estate, hotels",Singapore
1999,Koo Bon-Joon,1.1 ,66,"electronics, household products",South Korea
1999,Lam Lung On,1.1 ,53,real estate,China
1999,Isaac Larian,1.1 ,64,toys,United States
1999,Frank Laukien,1.1 ,58,scientific equipment,United States
1999,Lee Joon-Ho,1.1 ,53,online games,South Korea
1999,Lee Sang-Hyuk,1.1 ,47,investments,South Korea
1999,Nancy Lerner,1.1 ,58,"banking, credit cards",United States
1999,Norma Lerner,1.1 ,82,banking,United States
1999,Randolph Lerner,1.1 ,56,"banking, credit cards",United States
1999,David Xueling Li,1.1 ,45,live streaming service,China
1999,Li Tan,1.1 ,53,pharmaceuticals,China
1999,Li Weiguo,1.1 ,53,construction materials,China
1999,Liang Feng,1.1 ,49,manufacturing,China
1999,Liang Guangwei,1.1 ,54,conglomerate,China
1999,Liang Shezeng,1.1 ,86,real estate,China
1999,Liao Chang,1.1 ,52,wine,China
1999,Jenny Lindén Urnes,1.1 ,47,powdered metal,Sweden
1999,Liu Zhendong,1.1 ,47,industrial parks,China
1999,Liu Zhiqiang,1.1 ,53,conglomerate,China
1999,Jonathan Lu,1.1 ,49,e-commerce,China
1999,William Macaulay,1.1 ,72,energy investments,United States
1999,John Martin,1.1 ,67,pharmaceuticals,United States
1999,Yves-Loic Martin,1.1 ,52,laboratory services,France
1999,Satish Mehta,1.1 ,67,pharmaceuticals,India
1999,Nikita Mishin,1.1 ,46,"ports, railway transport",Russia
1999,Konstantin Nikolaev,1.1 ,47,"ports, railway transport",Russia
1999,Simon Nixon,1.1 ,50,price comparison website,United Kingdom
1999,Michael O'Leary,1.1 ,57,Ryanair,Ireland
1999,Liora Ofer,1.1 ,64,investments,Israel
1999,Roberto Ongpin,1.1 ,81,diversified,Philippines
1999,Niti Osathanugrah,1.1 ,44,investments,Thailand
1999,Frank Otto,1.1 ,60,retail,Germany
1999,Gretel Packer,1.1 ,52,casinos,Australia
1999,Alberto Palatchi,1.1 ,68,wedding dresses,Spain
1999,Peng Jianhu,1.1 ,61,tourism,China
1999,Lucy Peng,1.1 ,45,e-commerce,China
1999,Andrei Rappoport,1.1 ,54,investments,Russia
1999,Andrea Reimann-Ciardelli,1.1 ,61,consumer goods,United States
1999,Igor Rotenberg,1.1 ,45,"construction, real estate",Russia
1999,Alan Rydge,1.1 ,65,entertainment,Australia
1999,Chris Sacca,1.1 ,43,venture capital investing,United States
1999,Alexander Samwer,1.1 ,43,tech investments,Germany
,,,,,
1999,Marc Samwer,1.1 ,47,tech investments,Germany
1999,Oliver Samwer,1.1 ,44,tech investments,Germany
1999,Neil Shen,1.1 ,50,venture capital,Hong Kong
1999,Albert Shigaboutdinov,1.1 ,65,"refinery, chemicals",Russia
1999,Shin Dong-Joo,1.1 ,64,retail,South Korea
1999,Yoshiko Shinohara,1.1 ,83,staffing,Japan
1999,Analjit Singh,1.1 ,64,healthcare,India
1999,Stephen Smith,1.1 ,67,finance and investments,Canada
1999,Michael Steinhardt,1.1 ,77,finance,United States
1999,Svein Stole,1.1 ,55,investments,Norway
,,,,,
1999,Rustem Sulteev,1.1 ,64,"refinery, chemicals",Russia
1999,Julio Patricio Supervielle,1.1 ,61,banking,Argentina
1999,Min-Liang Tan,1.1 ,40,gaming,Singapore
1999,Hary Tanoesoedibjo,1.1 ,52,media,Indonesia
1999,Sukanto Tanoto,1.1 ,68,diversified,Indonesia
1999,Tiong Hiew King,1.1 ,83,"timber, media",Malaysia
1999,Laurie Tisch,1.1 ,67,"insurance, NFL team",United States
1999,Steven Tisch,1.1 ,69,insurance,United States
1999,James Truchard,1.1 ,74,software,United States
1999,Vardis Vardinoyannis,1.1 ,85,oil and gas,Greece
